State/Province,2000,2005,2010,2015,2020,2025
Anhui,0,0,0,1488,2043,36313.334
Beijing,0,0,136,50,0,0
Chongqing,0,0,49,246,528,9384.945
Fujian,0,16,299,1176,2006,42664.642
Gansu,0,0,1190,9950.500,1661,125000
Guangdong,0,100,517.200,1562.100,2528,76777.493
Guangxi,0,0,0,421,4112,73088.806
Guizhou,0,0,0,2606,1914,34020.423
Hainan,0,0,198,50,0,0
Hebei,0,0,2724,6853,9270.500,149172.667
Heilongjiang,0,16,1896,3121,1091,19391.998
Henan,0,0,49,945,9424,167507.030
Hubei,0,0,44,1493,3016,53607.937
Hunan,0,0,36,1524,5034,89476.908
InnerMongolia,0,31,7521,14316,11684,288000
Jiangsu,0,0,1013,2235,4440,64096.386
Jiangxi,0,0,84,671,3299,58638.126
Jilin,0,0,1911,2521,794,14112.965
Liaoning,21,0,2211,4158,1820,32349.617
Ningxia,0,0,468,6055,4871,86579.663
Qinghai,0,0,0,470,6296,111908.348
Shaanxi,0,0,0,1638,5094,90543.380
Shandong,0,0,1246,6467,9107,121000
Shanghai,0,0,15,355,0,0
Shanxi,0,0,373,5899,10776.400,125000
Sichuan,0,0,0,828,3103,55154.320
Tianjin,0,0,12,309,467,8300.698
Tibet,0,0,0,49.500,0,0
Xinjiang,0,0,700,10905,9799,176000
Yunnan,0,0,194,4637,3657,65001.401
Zhejiang,0,0,138,844,338,6007.787